,id,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,slug,preferredDisplayStyle,promotionContentType,promotionContentId,promotionRecommendationCarouselId
180,5794,Egyéb magok (bevont),,,,19,False,0,0,[],False,egyeb-magok-bevont,,banner,1360,
181,5795,Kesudió,,,,3,False,0,0,[],False,kesudio,,banner,1360,
182,5796,Mandula,,,,5,False,0,0,[],False,mandula,,banner,1360,
183,5797,Mogyoró,,,,21,False,1,0,[],False,mogyoro,,banner,1360,
184,5798,Napraforgómag,,,,8,False,0,0,[],False,napraforgomag,,banner,1360,
185,5799,Pisztácia,,,,4,False,0,0,[],False,pisztacia,,banner,1360,
186,5800,Sós magmix,,,,1,False,0,0,[],False,sos-magmix,,banner,1360,
187,5801,Tökmag,,,,4,False,0,0,[],False,tokmag,,banner,1360,
188,5803,Micro poprcorn,,,,17,False,0,0,[],False,micro-poprcorn,,banner,1360,
189,5805,Extrudált kukorica - pufi,,,,11,False,2,0,[],False,extrudalt-kukorica-pufi,,banner,1360,
190,5806,Extrudált snack,,,,7,False,0,0,[],False,extrudalt-snack,,banner,1357,
191,5807,Gyerek extrudált snack,,,,18,False,5,0,[],False,gyerek-extrudalt-snack,,banner,1360,
192,5808,Rágógumi,,,,46,False,2,0,[],False,ragogumi,,banner,1360,
193,5809,Kréker,,,,24,False,5,0,[],False,kreker,,banner,1360,
194,5810,Perec,,,,5,False,0,0,[],False,perec,,banner,1360,
195,5811,"Sticks, ropi",,,,24,False,7,0,[],False,sticks-ropi,,banner,1360,
196,5812,Egyéb szeletes termék,,,,8,False,0,0,[],False,egyeb-szeletes-termek,,banner,1360,
197,5813,Szeletes termék - csokoládé,,,,63,False,4,0,[],False,szeletes-termek-csokolade,,banner,1360,
198,5814,Szeletes termék - ostya alapú,,,,58,False,0,0,[],False,szeletes-termek-ostya-alapu,,banner,1360,
199,5815,Szeletes termék multipack,,,,20,False,1,0,[],False,szeletes-termek-multipack,,banner,1360,
200,5816,Étcsokoládé ízesített,,,,45,False,1,0,[],False,etcsokolade-izesitett,,banner,1360,
201,5817,Étcsokoládé natúr,,,,24,False,0,0,[],False,etcsokolade-natur,,banner,1360,
202,5818,Fehércsokoládé,,,,8,False,0,0,[],False,fehercsokolade,,banner,1360,
203,5819,Tejcsokoládé ízesített,,,,77,False,1,0,[],False,tejcsokolade-izesitett,,banner,1360,
204,5820,Tejcsokoládé natúr,,,,23,False,0,0,[],False,tejcsokolade-natur,,banner,1360,
