,id,level,name,imageUrl,thumbnailUrl,mobileImageUrl,productCount,comparable,discountedCount,childCount,children,boutique,preferredDisplayStyle,promotionContentType,promotionContentId,slug,promotionRecommendationCarouselId
1429,12590,2.0,"Bögrék, poharak",,,,179,False,2,8,[],False,,banner,1528.0,bogrek-poharak,
1430,12593,2.0,Tálak és tányérok,,,,112,False,11,5,[],False,,banner,1528.0,talak-es-tanyerok,
1431,12596,2.0,Evőeszköz,,,,70,False,0,3,[],False,,banner,1528.0,evoeszkoz,
1432,12599,2.0,Egyszer használatos és műanyag termékek,,,,119,False,0,5,[],False,,banner,1528.0,egyszer-hasznalatos-es-muanyag-termekek,
1433,12602,2.0,Party,,,,104,False,2,2,[],False,,banner,1528.0,party,
1434,12605,2.0,Edények,,,,183,False,0,8,[],False,,banner,1528.0,edenyek,
1435,12608,2.0,"Vágó, szeletelő eszközök",,,,118,False,0,5,[],False,,banner,1528.0,vago-szeletelo-eszkozok,
1436,12611,2.0,"Sütési, főzési eszközök",,,,266,False,4,11,[],False,,banner,1528.0,sutesi-fozesi-eszkozok,
1437,12614,2.0,Konyhai tárolás,,,,190,False,0,5,[],False,,banner,1528.0,konyhai-tarolas,
1438,12617,0.0,"Állateledel, Otthon, Háztartás",,,https://ahuazurewebblob0.blob.core.windows.net/auchan/cache/category_mobile/category/11726338/otthon-haztartas_lev1_category.jpg,5497,False,272,9,[],False,,banner,1528.0,allateledel-otthon-haztartas,
1439,12629,3.0,Hangulatvilágítás,,,,4,False,0,0,[],False,,banner,1528.0,hangulatvilagitas,
1440,12635,3.0,LED fényforrás,,,,106,False,39,0,[],False,,banner,1528.0,led-fenyforras,
1441,12638,3.0,Halogén izzók,,,,11,False,0,0,[],False,,banner,1528.0,halogen-izzok,
1442,12641,3.0,Fénycsövek,,,,2,False,0,0,[],False,,banner,1528.0,fenycsovek,
